time_bin,grid_x,grid_y,count
2018-01-01,4000,1543,1
2018-01-01,4000,2383,1
2018-01-01,4000,2771,1
2018-01-01,5000,1788,1
2018-01-01,5000,1794,1
2018-01-01,5000,2265,1
2018-01-01,5000,2621,1
2018-01-01,6000,1638,1
2018-01-01,6000,2268,1
2018-01-01,6000,2383,1
2018-01-01,6000,3233,1
2018-01-01,6000,3262,1
2018-01-01,6000,3290,1
2018-01-01,7000,2046,1
2018-01-01,7000,2267,1
2018-01-01,7000,2387,1
2018-01-01,7000,2431,1
2018-01-01,7000,2534,1
2018-01-01,7000,2657,1
2018-01-01,7000,2748,1
2018-01-01,7000,2824,1
2018-01-01,7000,2884,1
2018-01-01,9000,1994,1
2018-01-01,9000,2219,1
2018-01-02,3000,1520,1
2018-01-02,4000,2349,1
2018-01-02,4000,3029,1
2018-01-02,5000,2199,1
2018-01-02,5000,2270,1
2018-01-02,5000,2555,1
2018-01-02,5000,2586,1
2018-01-02,5000,2869,1
2018-01-02,5000,2911,1
2018-01-02,6000,1761,1
2018-01-02,6000,1890,1
2018-01-02,6000,2228,1
2018-01-02,6000,2493,1
2018-01-02,7000,1925,1
2018-01-02,7000,2140,1
2018-01-02,7000,2354,1
2018-01-02,7000,2442,1
2018-01-02,7000,2598,1
2018-01-02,7000,2604,1
2018-01-02,7000,2688,1
2018-01-02,8000,1836,1
2018-01-02,8000,1971,1
2018-01-02,8000,2200,1
2018-01-02,8000,3426,1
2018-01-03,3000,3002,1
2018-01-03,4000,1947,1
2018-01-03,4000,2662,1
2018-01-03,4000,2806,1
2018-01-03,4000,3269,1
2018-01-03,5000,2177,1
2018-01-03,5000,2307,1
2018-01-03,5000,2345,1
2018-01-03,5000,2464,1
2018-01-03,6000,1618,1
2018-01-03,6000,2080,1
2018-01-03,6000,2162,1
2018-01-03,6000,2672,1
2018-01-03,6000,2681,2
2018-01-03,6000,2988,1
2018-01-03,7000,2407,1
2018-01-03,7000,2906,1
2018-01-03,7000,2966,1
2018-01-03,7000,3178,1
2018-01-03,8000,1902,1
2018-01-03,8000,2260,1
2018-01-03,8000,2666,1
2018-01-03,8000,3015,1
2018-01-04,3000,2390,1
2018-01-04,3000,2549,1
2018-01-04,4000,2096,1
2018-01-04,4000,2544,1
2018-01-04,4000,2679,1
2018-01-04,4000,3239,1
2018-01-04,4000,3282,1
2018-01-04,6000,1768,1
2018-01-04,6000,2350,1
2018-01-04,6000,2958,1
2018-01-04,7000,1500,1
2018-01-04,7000,1506,1
2018-01-04,7000,2149,1
2018-01-04,7000,2235,1
2018-01-04,7000,2241,1
2018-01-04,7000,2249,1
2018-01-04,7000,2304,1
2018-01-04,7000,2546,1
2018-01-04,7000,2664,1
2018-01-04,7000,2757,1
2018-01-04,8000,2336,1
2018-01-04,8000,2482,1
2018-01-04,8000,2911,1
2018-01-04,8000,2984,1
2018-01-05,3000,2530,1
2018-01-05,4000,2383,1
2018-01-05,4000,2487,1
2018-01-05,4000,2503,1
2018-01-05,5000,2404,1
2018-01-05,5000,2631,1
2018-01-05,5000,3071,1
2018-01-05,5000,3443,1
2018-01-05,6000,2463,1
2018-01-05,6000,2483,1
2018-01-05,6000,2629,1
2018-01-05,6000,2651,1
2018-01-05,7000,1541,1
2018-01-05,7000,1916,1
2018-01-05,7000,2587,1
2018-01-05,7000,2648,1
2018-01-05,7000,2702,1
2018-01-05,7000,2876,1
2018-01-05,7000,3732,1
2018-01-05,8000,1792,1
2018-01-05,8000,2099,1
2018-01-05,8000,2290,1
2018-01-05,8000,2329,1
2018-01-05,9000,2419,1
2018-01-06,3000,2592,1
2018-01-06,4000,1725,1
2018-01-06,4000,3275,1
2018-01-06,5000,1969,1
2018-01-06,5000,2217,1
2018-01-06,5000,2248,1
2018-01-06,6000,1885,1
2018-01-06,6000,2005,1
2018-01-06,6000,2339,1
2018-01-06,6000,2614,1
2018-01-06,6000,2737,1
2018-01-06,6000,2793,1
2018-01-06,6000,3154,1
2018-01-06,7000,2108,1
2018-01-06,7000,2534,1
2018-01-06,7000,2550,1
2018-01-06,7000,3595,1
2018-01-06,8000,1696,1
2018-01-06,8000,1799,1
2018-01-06,8000,2040,1
2018-01-06,8000,2045,1
2018-01-06,8000,2896,1
2018-01-06,8000,2907,1
2018-01-06,8000,3201,1
2018-01-07,4000,2647,1
2018-01-07,4000,3448,1
2018-01-07,5000,2090,1
2018-01-07,5000,2706,1
2018-01-07,5000,2891,1
2018-01-07,6000,1840,1
2018-01-07,6000,2160,1
2018-01-07,6000,2737,1
2018-01-07,6000,2761,1
2018-01-07,6000,2828,1
2018-01-07,6000,3433,1
2018-01-07,7000,2616,1
2018-01-07,7000,2625,1
2018-01-07,7000,2630,1
2018-01-07,7000,2648,1
2018-01-07,7000,2673,1
2018-01-07,7000,2894,1
2018-01-07,7000,2911,1
2018-01-07,7000,2982,1
2018-01-07,7000,3079,1
2018-01-07,8000,1882,1
2018-01-07,8000,1904,1
2018-01-07,9000,2013,1
2018-01-07,9000,2143,1
2018-01-08,3000,1743,1
2018-01-08,3000,2077,1
2018-01-08,3000,2507,1
2018-01-08,4000,3860,1
2018-01-08,5000,2638,1
2018-01-08,5000,2671,1
2018-01-08,5000,2857,1
2018-01-08,5000,2928,1
2018-01-08,6000,2123,1
2018-01-08,6000,2368,1
2018-01-08,6000,2377,1
2018-01-08,6000,2388,1
2018-01-08,6000,2464,1
2018-01-08,6000,2741,1
2018-01-08,6000,2914,1
2018-01-08,7000,1965,1
2018-01-08,7000,2092,1
2018-01-08,7000,2277,1
2018-01-08,7000,2461,1
2018-01-08,7000,2737,1
2018-01-08,8000,2055,1
2018-01-08,8000,2813,1
2018-01-08,8000,3227,1
2018-01-08,9000,2071,1
2018-01-09,4000,2031,1
2018-01-09,4000,2693,1
2018-01-09,4000,4000,1
2018-01-09,5000,2058,1
2018-01-09,5000,2587,1
2018-01-09,5000,2607,1
2018-01-09,5000,2758,1
2018-01-09,5000,3042,1
2018-01-09,7000,1811,1
2018-01-09,7000,1877,1
2018-01-09,7000,2342,1
2018-01-09,7000,2577,1
2018-01-09,7000,2679,1
2018-01-09,7000,2758,1
2018-01-09,7000,2785,1
2018-01-09,7000,2826,1
2018-01-09,7000,3027,1
2018-01-09,7000,3068,1
2018-01-09,8000,1929,1
2018-01-09,8000,2529,1
2018-01-09,8000,2757,1
2018-01-09,8000,2879,1
2018-01-09,9000,2780,1
2018-01-09,9000,2977,1
2018-01-10,3000,2523,1
2018-01-10,4000,2608,1
2018-01-10,5000,2135,1
2018-01-10,5000,2142,1
2018-01-10,5000,2264,1
2018-01-10,5000,2817,1
2018-01-10,5000,3044,1
2018-01-10,6000,2257,1
2018-01-10,6000,2593,1
2018-01-10,6000,2843,1
2018-01-10,6000,3572,1
2018-01-10,7000,1500,1
2018-01-10,7000,1566,1
2018-01-10,7000,1961,1
2018-01-10,7000,2114,1
2018-01-10,7000,2532,1
2018-01-10,7000,2541,1
2018-01-10,7000,3657,1
2018-01-10,8000,1694,1
2018-01-10,8000,2174,1
2018-01-10,8000,2382,1
2018-01-10,8000,2840,1
2018-01-10,8000,2926,1
2018-01-10,9000,2169,1
2018-01-11,3000,2959,1
2018-01-11,5000,2104,1
2018-01-11,5000,2722,1
2018-01-11,5000,3383,1
2018-01-11,6000,1740,1
2018-01-11,6000,1900,1
2018-01-11,6000,2702,1
2018-01-11,6000,2752,1
2018-01-11,6000,2933,1
2018-01-11,7000,1500,1
2018-01-11,7000,1988,1
2018-01-11,7000,2146,1
2018-01-11,7000,2173,1
2018-01-11,7000,2263,1
2018-01-11,7000,2333,1
2018-01-11,7000,2443,1
2018-01-11,7000,2470,1
2018-01-11,7000,2887,1
2018-01-11,7000,3016,1
2018-01-11,7000,3133,1
2018-01-11,7000,3561,1
2018-01-11,8000,1870,1
2018-01-11,8000,2037,1
2018-01-11,8000,2258,1
2018-01-12,3000,1876,1
2018-01-12,3000,1881,1
2018-01-12,4000,2307,1
2018-01-12,4000,2557,1
2018-01-12,5000,2424,1
2018-01-12,5000,2535,1
2018-01-12,5000,2565,1
2018-01-12,6000,2009,1
2018-01-12,6000,2731,1
2018-01-12,6000,3293,1
2018-01-12,6000,3567,1
2018-01-12,7000,1785,1
2018-01-12,7000,2200,1
2018-01-12,7000,2280,1
2018-01-12,7000,2505,1
2018-01-12,7000,2600,1
2018-01-12,7000,2794,1
2018-01-12,7000,2831,1
2018-01-12,7000,3082,1
2018-01-12,7000,3316,1
2018-01-12,8000,1524,1
2018-01-12,8000,1782,1
2018-01-12,8000,3221,1
2018-01-12,9000,2374,1
2018-01-13,4000,2205,1
2018-01-13,4000,3049,1
2018-01-13,5000,2154,1
2018-01-13,5000,2204,1
2018-01-13,5000,2220,1
2018-01-13,5000,2906,1
2018-01-13,6000,2253,1
2018-01-13,6000,2391,1
2018-01-13,6000,2640,1
2018-01-13,6000,2679,1
2018-01-13,6000,2774,1
2018-01-13,6000,3139,1
2018-01-13,7000,2189,1
2018-01-13,7000,2396,1
2018-01-13,7000,2399,1
2018-01-13,7000,2490,1
2018-01-13,7000,2654,1
2018-01-13,7000,2805,1
2018-01-13,7000,2815,1
2018-01-13,7000,2925,1
2018-01-13,8000,2874,1
2018-01-13,8000,2950,1
2018-01-13,9000,2086,1
2018-01-13,9000,2559,1
2018-01-14,3000,2161,1
2018-01-14,3000,2426,1
2018-01-14,3000,3153,1
2018-01-14,4000,1997,1
2018-01-14,4000,2051,1
2018-01-14,4000,2814,1
2018-01-14,4000,2988,1
2018-01-14,5000,2511,1
2018-01-14,5000,2538,1
2018-01-14,5000,2798,1
2018-01-14,5000,2907,1
2018-01-14,6000,1893,1
2018-01-14,6000,2435,1
2018-01-14,6000,2548,1
2018-01-14,7000,2662,1
2018-01-14,7000,2896,1
2018-01-14,7000,2913,1
2018-01-14,7000,3079,1
2018-01-14,7000,3546,1
2018-01-14,8000,2091,1
2018-01-14,8000,2345,1
2018-01-14,8000,2494,1
2018-01-14,8000,2812,1
2018-01-14,8000,2841,1
2018-01-15,4000,2087,1
2018-01-15,4000,2141,1
2018-01-15,5000,1776,1
2018-01-15,5000,1796,1
2018-01-15,5000,1999,1
2018-01-15,5000,2247,1
2018-01-15,5000,2491,1
2018-01-15,5000,2706,1
2018-01-15,6000,2086,1
2018-01-15,6000,2089,1
2018-01-15,6000,2218,1
2018-01-15,6000,2356,1
2018-01-15,6000,2420,1
2018-01-15,6000,2490,1
2018-01-15,6000,2622,1
2018-01-15,6000,3238,1
2018-01-15,7000,2393,1
2018-01-15,7000,2616,1
2018-01-15,7000,2655,1
2018-01-15,8000,2339,1
2018-01-15,8000,2929,1
2018-01-15,9000,2264,1
2018-01-15,9000,2622,1
2018-01-15,9000,2661,1
2018-01-16,4000,2299,1
2018-01-16,4000,2446,1
2018-01-16,4000,2512,1
2018-01-16,5000,3266,1
2018-01-16,6000,2080,1
2018-01-16,6000,2549,1
2018-01-16,6000,2749,1
2018-01-16,6000,3577,1
2018-01-16,7000,2113,1
2018-01-16,7000,2200,1
2018-01-16,7000,2237,1
2018-01-16,7000,2506,1
2018-01-16,7000,2592,1
2018-01-16,7000,2701,1
2018-01-16,7000,2760,1
2018-01-16,7000,2845,1
2018-01-16,7000,2936,1
2018-01-16,7000,2980,1
2018-01-16,7000,3226,1
2018-01-16,8000,1500,1
2018-01-16,8000,2096,1
2018-01-16,8000,2116,1
2018-01-16,8000,2612,1
2018-01-16,9000,3595,1
2018-01-17,3000,2443,1
2018-01-17,4000,2200,1
2018-01-17,4000,3177,1
2018-01-17,5000,2575,1
2018-01-17,5000,2746,1
2018-01-17,5000,2811,1
2018-01-17,6000,1966,1
2018-01-17,6000,2503,1
2018-01-17,7000,1703,1
2018-01-17,7000,2120,1
2018-01-17,7000,2212,1
2018-01-17,7000,2265,1
2018-01-17,7000,2275,1
2018-01-17,7000,2523,1
2018-01-17,7000,3438,1
2018-01-17,8000,1643,1
2018-01-17,8000,1840,1
2018-01-17,8000,2051,1
2018-01-17,8000,2429,1
2018-01-17,8000,2671,1
2018-01-17,8000,2975,1
2018-01-17,8000,3090,1
2018-01-17,9000,3119,1
2018-01-17,9000,3416,1
2018-01-18,3000,2534,1
2018-01-18,3000,3029,1
2018-01-18,4000,3139,1
2018-01-18,5000,1908,1
2018-01-18,5000,2376,1
2018-01-18,5000,2823,1
2018-01-18,5000,3276,1
2018-01-18,6000,1938,1
2018-01-18,6000,2558,1
2018-01-18,6000,2666,1
2018-01-18,6000,3530,1
2018-01-18,7000,1500,1
2018-01-18,7000,1621,1
2018-01-18,7000,1733,1
2018-01-18,7000,2126,1
2018-01-18,7000,2757,1
2018-01-18,7000,2843,1
2018-01-18,7000,2856,1
2018-01-18,7000,2986,1
2018-01-18,7000,3184,1
2018-01-18,7000,3378,1
2018-01-18,8000,2018,1
2018-01-18,9000,2560,1
2018-01-18,9000,3090,1
2018-01-19,5000,2007,1
2018-01-19,5000,2472,1
2018-01-19,5000,2752,1
2018-01-19,6000,2455,1
2018-01-19,6000,2484,1
2018-01-19,6000,2537,1
2018-01-19,7000,1500,1
2018-01-19,7000,1810,1
2018-01-19,7000,1848,1
2018-01-19,7000,1970,1
2018-01-19,7000,2030,1
2018-01-19,7000,2243,1
2018-01-19,7000,2365,1
2018-01-19,7000,2469,1
2018-01-19,7000,2683,1
2018-01-19,7000,2835,1
2018-01-19,7000,3251,1
2018-01-19,7000,3314,1
2018-01-19,8000,1648,1
2018-01-19,8000,2104,1
2018-01-19,8000,2692,1
2018-01-19,8000,2859,1
2018-01-19,8000,2978,1
2018-01-19,9000,2235,1
2018-01-20,3000,1982,1
2018-01-20,3000,2150,1
2018-01-20,3000,2518,1
2018-01-20,3000,2879,1
2018-01-20,4000,3183,1
2018-01-20,5000,2235,1
2018-01-20,6000,1742,1
2018-01-20,6000,2362,1
2018-01-20,6000,2375,1
2018-01-20,6000,2788,1
2018-01-20,6000,2807,1
2018-01-20,6000,4000,1
2018-01-20,7000,1901,1
2018-01-20,7000,2446,1
2018-01-20,7000,2607,1
2018-01-20,7000,3060,1
2018-01-20,7000,3322,1
2018-01-20,8000,1500,1
2018-01-20,8000,2212,1
2018-01-20,8000,2223,1
2018-01-20,8000,2444,1
2018-01-20,8000,2656,1
2018-01-20,9000,2390,1
2018-01-20,9000,3482,1
2018-01-21,3000,2781,1
2018-01-21,3000,3262,1
2018-01-21,4000,1959,1
2018-01-21,4000,2069,1
2018-01-21,4000,2436,1
2018-01-21,4000,2602,1
2018-01-21,5000,1809,1
2018-01-21,5000,2177,1
2018-01-21,5000,3344,1
2018-01-21,6000,2022,1
2018-01-21,6000,2122,1
2018-01-21,6000,2405,1
2018-01-21,6000,2539,1
2018-01-21,6000,2963,1
2018-01-21,7000,1697,1
2018-01-21,7000,1789,1
2018-01-21,7000,1801,1
2018-01-21,7000,1981,1
2018-01-21,7000,2062,1
2018-01-21,7000,2496,1
2018-01-21,7000,2769,1
2018-01-21,7000,3240,1
2018-01-21,7000,3455,1
2018-01-21,8000,2941,1
2018-01-22,3000,2524,1
2018-01-22,4000,1686,1
